threads,char_seq,char_par,word_seq,word_par
1,0.0070999,0.0065289,0.199922,0.245353
2,0.0059605,0.0035898,0.271284,0.204519
3,0.005674,0.0025769,0.21641,0.14937
4,0.0065951,0.0020497,0.173864,0.150846
5,0.0056212,0.0020988,0.140915,0.124059
6,0.0055826,0.0018994,0.131816,0.121462
7,0.0062567,0.0024965,0.133975,0.123757
8,0.0056042,0.0014129,0.146273,0.126913
9,0.0055897,0.0019119,0.166993,0.12575
10,0.0059884,0.0016373,0.142819,0.105698
11,0.005585,0.0017712,0.125947,0.121621
12,0.0056046,0.0014018,0.129661,0.121831
13,0.0058691,0.0022092,0.131895,0.1217
14,0.0055593,0.0017032,0.129393,0.114342
15,0.0056007,0.0016637,0.131716,0.122593
16,0.0056104,0.0017087,0.133045,0.12792
17,0.0055896,0.0020767,0.129463,0.130459
18,0.0057775,0.0017533,0.130842,0.118514
19,0.005642,0.0016272,0.117426,0.124412
20,0.0055384,0.0016156,0.149261,0.120699
21,0.0058996,0.0019315,0.130924,0.121047
22,0.0056895,0.0019562,0.146902,0.112264
23,0.0057276,0.00157,0.129346,0.124882
24,0.0056444,0.0015377,0.136199,0.126654
25,0.0058462,0.0018604,0.131699,0.117144
26,0.0056094,0.0017027,0.135407,0.125809
27,0.0056581,0.001463,0.142287,0.120298
28,0.0056304,0.0019387,0.134732,0.118449
29,0.0057247,0.0018166,0.134829,0.129099
30,0.0055237,0.0015892,0.139363,0.127969
31,0.0054465,0.0017375,0.120599,0.11183
32,0.0056575,0.001746,0.132669,0.121409
